Unit,FileName,ImageID,ObjectID,BorderObject,Area,FilledArea,MajorAxisLength,MinorAxisLength,Eccentricity,Orientation,ConvexArea,Circularity,EulerNumber,EquivDiameter,Solidity,Extent,Perimeter,Centroid_x,Centroid_y,Centroid_x_pixels,Centroid_y_pixels,BoundingBox_x,BoundingBox_y,BoundingBox_w,BoundingBox_h
um,Steel 1 1200 degree cropped.png,1,327,0,43.4061366439571,43.4061366439571,10.3592054759175,5.45765043906299,0.849964081845185,-81.2333995291825,44.1295722546897,0.853986064501602,1,7.43413812484434,0.983606557377049,0.833333333333333,22.6008194147412,341.552601095623,679.901463175408,401.566666666667,799.366666666667,338.944247206622,674.911568779058,5.10330108717624,10.2066021743525
um,Steel 1 1200 degree cropped.png,1,328,0,116.473133327951,116.473133327951,19.1864953999557,8.33291197954216,0.900762834898787,-48.0550293014859,134.559023596267,0.630972191383153,1,12.1777748070967,0.865591397849462,0.470760233918129,45.490825891089,348.508974554793,120.434735905131,409.745341614907,141.596273291925,339.794797387818,112.697899008475,16.1604534427248,15.3099032615287
um,Steel 1 1200 degree cropped.png,1,329,0,3.61717805366309,3.61717805366309,2.36528406814042,2.36528406814042,0,0,3.61717805366309,0.817743873391467,1,2.14605082378587,1,0.555555555555556,4.78349421904653,342.771723022004,87.6066686631922,403,103,341.49589775021,86.3308433913981,2.55165054358812,2.55165054358812
um,Steel 1 1200 degree cropped.png,1,330,0,370.3990326951,376.186517580961,44.7487160392529,11.7332036827665,0.965013005795261,-30.6350005076951,444.189464989827,0.47149619428261,0,21.7165074484608,0.833876221498371,0.387878787878788,96.6854412972787,358.761069689996,634.713105332609,421.798828125,746.23828125,341.49589775021,622.177457544904,37.4242079726258,25.5165054358812
um,Steel 1 1200 degree cropped.png,1,331,0,572.2375680895,572.2375680895,75.5953072596362,14.4390071563247,0.981589255484912,-4.07016015376281,925.99758173775,0.187575989419488,1,26.9925082323713,0.61796875,0.411979166666667,193.124223042011,376.61523301311,338.159827033193,442.790139064475,397.577749683944,343.196998112602,327.887094851074,68.0440144956833,20.413204348705
um,Steel 1 1200 degree cropped.png,1,332,0,207.626020280261,207.626020280261,24.4715131698825,11.0733911282715,0.891763751265808,-21.4783172399735,224.265039327111,0.709005648980482,1,16.2590792954833,0.925806451612903,0.625272331154684,57.990511353946,354.960966559493,355.079510138754,417.331010452962,417.470383275261,344.047548293798,348.300299199779,22.9648548922931,14.4593530803327
um,Steel 1 1200 degree cropped.png,1,333,0,437.678544493234,437.678544493234,58.2562329877294,13.138864289156,0.97423488801801,-54.4918877282705,588.153151525618,0.346071414698155,1,23.6065590616446,0.744157441574416,0.280092592592593,123.394418087197,358.191283992844,611.773330906984,421.128925619835,719.267768595041,344.047548293798,588.155450297062,34.0220072478416,45.9297097845862
um,Steel 1 1200 degree cropped.png,1,334,0,63.6623337444703,63.6623337444703,14.8475693886861,5.60974105761303,0.925878177248579,-83.1043725056002,67.2795117981334,0.710643071786222,1,9.00318837043785,0.946236559139785,0.739495798319328,30.8800748785035,350.745630970717,648.138568757319,412.375,762.022727272727,347.449749018583,640.889561531217,5.95385126837228,14.4593530803327
um,Steel 1 1200 degree cropped.png,1,335,0,94.7700650059729,94.7700650059729,19.6661916422348,6.5241923211681,0.94336853334957,-23.5339198460854,108.515341609893,0.619148495489444,1,10.9847619192555,0.873333333333333,0.51984126984127,41.1853408738747,357.010322620195,325.786690395983,419.740458015267,383.030534351145,348.300299199779,320.232143220309,17.8615538051169,10.2066021743525
um,Steel 1 1200 degree cropped.png,1,336,0,360.994369755576,360.994369755576,57.5263679843971,11.0833662929528,0.981264425219247,-88.7724889621584,512.192412398693,0.285599250738561,1,21.439036988623,0.704802259887006,0.503024193548387,123.358694979587,362.116199988726,87.0424760580301,425.743486973948,102.336673346693,355.955250830543,59.1132375931248,13.6088028991367,52.7341112341545
